,n_estimators,max_depth,min_samples_split,max_features,accuracy
0,25,10.0,2,sqrt,0.5176110260336907
1,25,10.0,2,log2,0.5329249617151608
2,25,10.0,3,sqrt,0.5283307810107197
3,25,10.0,3,log2,0.5237366003062787
4,25,10.0,5,sqrt,0.552833078101072
5,25,10.0,5,log2,0.5451761102603369
6,25,15.0,2,sqrt,0.5237366003062787
7,25,15.0,2,log2,0.5329249617151608
8,25,15.0,3,sqrt,0.55895865237366
9,25,15.0,3,log2,0.5436447166921899
10,25,15.0,5,sqrt,0.5176110260336907
11,25,15.0,5,log2,0.5206738131699847
12,25,20.0,2,sqrt,0.5405819295558959
13,25,20.0,2,log2,0.5405819295558959
14,25,20.0,3,sqrt,0.5359877488514548
15,25,20.0,3,log2,0.5298621745788668
16,25,20.0,5,sqrt,0.5436447166921899
17,25,20.0,5,log2,0.5405819295558959
18,25,,2,sqrt,0.5513016845329249
19,25,,2,log2,0.552833078101072
20,25,,3,sqrt,0.5497702909647779
21,25,,3,log2,0.5451761102603369
22,25,,5,sqrt,0.5329249617151608
23,25,,5,log2,0.5313935681470138
24,50,10.0,2,sqrt,0.5344563552833078
25,50,10.0,2,log2,0.5329249617151608
26,50,10.0,3,sqrt,0.5467075038284839
27,50,10.0,3,log2,0.5313935681470138
28,50,10.0,5,sqrt,0.5436447166921899
29,50,10.0,5,log2,0.5283307810107197
30,50,15.0,2,sqrt,0.5344563552833078
31,50,15.0,2,log2,0.5405819295558959
32,50,15.0,3,sqrt,0.5344563552833078
33,50,15.0,3,log2,0.5436447166921899
34,50,15.0,5,sqrt,0.5390505359877489
35,50,15.0,5,log2,0.5313935681470138
36,50,20.0,2,sqrt,0.5482388973966309
37,50,20.0,2,log2,0.5436447166921899
38,50,20.0,3,sqrt,0.5436447166921899
39,50,20.0,3,log2,0.5283307810107197
40,50,20.0,5,sqrt,0.5160796324655437
41,50,20.0,5,log2,0.5375191424196019
42,50,,2,sqrt,0.5620214395099541
43,50,,2,log2,0.5436447166921899
44,50,,3,sqrt,0.555895865237366
45,50,,3,log2,0.5405819295558959
46,50,,5,sqrt,0.5604900459418071
47,50,,5,log2,0.5650842266462481
48,100,10.0,2,sqrt,0.5405819295558959
49,100,10.0,2,log2,0.5329249617151608
50,100,10.0,3,sqrt,0.5497702909647779
51,100,10.0,3,log2,0.5451761102603369
52,100,10.0,5,sqrt,0.5405819295558959
53,100,10.0,5,log2,0.5206738131699847
54,100,15.0,2,sqrt,0.552833078101072
55,100,15.0,2,log2,0.555895865237366
56,100,15.0,3,sqrt,0.5497702909647779
57,100,15.0,3,log2,0.5298621745788668
58,100,15.0,5,sqrt,0.5359877488514548
59,100,15.0,5,log2,0.5467075038284839
60,100,20.0,2,sqrt,0.5436447166921899
61,100,20.0,2,log2,0.5344563552833078
62,100,20.0,3,sqrt,0.5436447166921899
63,100,20.0,3,log2,0.5390505359877489
64,100,20.0,5,sqrt,0.557427258805513
65,100,20.0,5,log2,0.5267993874425727
66,100,,2,sqrt,0.5635528330781011
67,100,,2,log2,0.5497702909647779
68,100,,3,sqrt,0.5497702909647779
69,100,,3,log2,0.5436447166921899
70,100,,5,sqrt,0.55895865237366
71,100,,5,log2,0.554364471669219
72,150,10.0,2,sqrt,0.5359877488514548
73,150,10.0,2,log2,0.5237366003062787
74,150,10.0,3,sqrt,0.5390505359877489
75,150,10.0,3,log2,0.5252679938744257
76,150,10.0,5,sqrt,0.5513016845329249
77,150,10.0,5,log2,0.5298621745788668
78,150,15.0,2,sqrt,0.5421133231240429
79,150,15.0,2,log2,0.5482388973966309
80,150,15.0,3,sqrt,0.5650842266462481
81,150,15.0,3,log2,0.5359877488514548
82,150,15.0,5,sqrt,0.5313935681470138
83,150,15.0,5,log2,0.5421133231240429
84,150,20.0,2,sqrt,0.554364471669219
85,150,20.0,2,log2,0.5513016845329249
86,150,20.0,3,sqrt,0.5513016845329249
87,150,20.0,3,log2,0.5375191424196019
88,150,20.0,5,sqrt,0.5405819295558959
89,150,20.0,5,log2,0.5298621745788668
90,150,,2,sqrt,0.557427258805513
91,150,,2,log2,0.5604900459418071
92,150,,3,sqrt,0.5421133231240429
93,150,,3,log2,0.5467075038284839
94,150,,5,sqrt,0.5451761102603369
95,150,,5,log2,0.5482388973966309
96,200,10.0,2,sqrt,0.5513016845329249
97,200,10.0,2,log2,0.5405819295558959
98,200,10.0,3,sqrt,0.5344563552833078
99,200,10.0,3,log2,0.5513016845329249
100,200,10.0,5,sqrt,0.5329249617151608
101,200,10.0,5,log2,0.5237366003062787
102,200,15.0,2,sqrt,0.5436447166921899
103,200,15.0,2,log2,0.5497702909647779
104,200,15.0,3,sqrt,0.5405819295558959
105,200,15.0,3,log2,0.5421133231240429
106,200,15.0,5,sqrt,0.5344563552833078
107,200,15.0,5,log2,0.557427258805513
108,200,20.0,2,sqrt,0.557427258805513
109,200,20.0,2,log2,0.557427258805513
110,200,20.0,3,sqrt,0.5421133231240429
111,200,20.0,3,log2,0.5482388973966309
112,200,20.0,5,sqrt,0.5359877488514548
113,200,20.0,5,log2,0.5451761102603369
114,200,,2,sqrt,0.5421133231240429
115,200,,2,log2,0.5451761102603369
116,200,,3,sqrt,0.5620214395099541
117,200,,3,log2,0.552833078101072
118,200,,5,sqrt,0.5467075038284839
119,200,,5,log2,0.5681470137825421
120,500,10.0,2,sqrt,0.5467075038284839
121,500,10.0,2,log2,0.5436447166921899
122,500,10.0,3,sqrt,0.5329249617151608
123,500,10.0,3,log2,0.5390505359877489
124,500,10.0,5,sqrt,0.5313935681470138
125,500,10.0,5,log2,0.5405819295558959
126,500,15.0,2,sqrt,0.557427258805513
127,500,15.0,2,log2,0.5451761102603369
128,500,15.0,3,sqrt,0.5405819295558959
129,500,15.0,3,log2,0.5513016845329249
130,500,15.0,5,sqrt,0.5513016845329249
131,500,15.0,5,log2,0.557427258805513
132,500,20.0,2,sqrt,0.554364471669219
133,500,20.0,2,log2,0.557427258805513
134,500,20.0,3,sqrt,0.5467075038284839
135,500,20.0,3,log2,0.55895865237366
136,500,20.0,5,sqrt,0.552833078101072
137,500,20.0,5,log2,0.5467075038284839
138,500,,2,sqrt,0.5497702909647779
139,500,,2,log2,0.5482388973966309
140,500,,3,sqrt,0.55895865237366
141,500,,3,log2,0.5482388973966309
142,500,,5,sqrt,0.555895865237366
143,500,,5,log2,0.5635528330781011
