,n_estimators,max_depth,min_samples_split,max_features,accuracy
0,25,10.0,2,sqrt,0.5132924335378323
1,25,10.0,2,log2,0.5132924335378323
2,25,10.0,3,sqrt,0.50920245398773
3,25,10.0,3,log2,0.516359918200409
4,25,10.0,5,sqrt,0.5306748466257669
5,25,10.0,5,log2,0.5388548057259713
6,25,10.0,10,sqrt,0.49079754601226994
7,25,10.0,10,log2,0.49795501022494887
8,25,10.0,50,sqrt,0.5153374233128835
9,25,10.0,50,log2,0.5010224948875256
10,25,15.0,2,sqrt,0.5153374233128835
11,25,15.0,2,log2,0.523517382413088
12,25,15.0,3,sqrt,0.5071574642126789
13,25,15.0,3,log2,0.5081799591002045
14,25,15.0,5,sqrt,0.5194274028629857
15,25,15.0,5,log2,0.5040899795501023
16,25,15.0,10,sqrt,0.5245398773006135
17,25,15.0,10,log2,0.5173824130879345
18,25,15.0,50,sqrt,0.5122699386503068
19,25,15.0,50,log2,0.5112474437627812
20,25,20.0,2,sqrt,0.5102249488752556
21,25,20.0,2,log2,0.5316973415132924
22,25,20.0,3,sqrt,0.5214723926380368
23,25,20.0,3,log2,0.5173824130879345
24,25,20.0,5,sqrt,0.5245398773006135
25,25,20.0,5,log2,0.5112474437627812
26,25,20.0,10,sqrt,0.5143149284253579
27,25,20.0,10,log2,0.5143149284253579
28,25,20.0,50,sqrt,0.5265848670756647
29,25,20.0,50,log2,0.5184049079754601
30,25,,2,sqrt,0.5040899795501023
31,25,,2,log2,0.5194274028629857
32,25,,3,sqrt,0.5184049079754601
33,25,,3,log2,0.5143149284253579
34,25,,5,sqrt,0.5173824130879345
35,25,,5,log2,0.5112474437627812
36,25,,10,sqrt,0.5153374233128835
37,25,,10,log2,0.5214723926380368
38,25,,50,sqrt,0.5071574642126789
39,25,,50,log2,0.5112474437627812
40,50,10.0,2,sqrt,0.5306748466257669
41,50,10.0,2,log2,0.5153374233128835
42,50,10.0,3,sqrt,0.5255623721881391
43,50,10.0,3,log2,0.5153374233128835
44,50,10.0,5,sqrt,0.5102249488752556
45,50,10.0,5,log2,0.5132924335378323
46,50,10.0,10,sqrt,0.5184049079754601
47,50,10.0,10,log2,0.5030674846625767
48,50,10.0,50,sqrt,0.5173824130879345
49,50,10.0,50,log2,0.5061349693251533
50,50,15.0,2,sqrt,0.5255623721881391
51,50,15.0,2,log2,0.5214723926380368
52,50,15.0,3,sqrt,0.5102249488752556
53,50,15.0,3,log2,0.5194274028629857
54,50,15.0,5,sqrt,0.5184049079754601
55,50,15.0,5,log2,0.5429447852760736
56,50,15.0,10,sqrt,0.5143149284253579
57,50,15.0,10,log2,0.516359918200409
58,50,15.0,50,sqrt,0.5132924335378323
59,50,15.0,50,log2,0.5020449897750511
60,50,20.0,2,sqrt,0.5153374233128835
61,50,20.0,2,log2,0.5173824130879345
62,50,20.0,3,sqrt,0.5224948875255624
63,50,20.0,3,log2,0.5214723926380368
64,50,20.0,5,sqrt,0.5214723926380368
65,50,20.0,5,log2,0.5102249488752556
66,50,20.0,10,sqrt,0.4938650306748466
67,50,20.0,10,log2,0.5296523517382413
68,50,20.0,50,sqrt,0.5214723926380368
69,50,20.0,50,log2,0.47955010224948874
70,50,,2,sqrt,0.5265848670756647
71,50,,2,log2,0.5112474437627812
72,50,,3,sqrt,0.5061349693251533
73,50,,3,log2,0.5214723926380368
74,50,,5,sqrt,0.5276073619631901
75,50,,5,log2,0.5173824130879345
76,50,,10,sqrt,0.5153374233128835
77,50,,10,log2,0.5143149284253579
78,50,,50,sqrt,0.5184049079754601
79,50,,50,log2,0.5122699386503068
80,100,10.0,2,sqrt,0.5184049079754601
81,100,10.0,2,log2,0.49795501022494887
82,100,10.0,3,sqrt,0.5061349693251533
83,100,10.0,3,log2,0.5194274028629857
84,100,10.0,5,sqrt,0.5030674846625767
85,100,10.0,5,log2,0.5184049079754601
86,100,10.0,10,sqrt,0.5071574642126789
87,100,10.0,10,log2,0.5030674846625767
88,100,10.0,50,sqrt,0.5061349693251533
89,100,10.0,50,log2,0.5061349693251533
90,100,15.0,2,sqrt,0.5071574642126789
91,100,15.0,2,log2,0.5081799591002045
92,100,15.0,3,sqrt,0.516359918200409
93,100,15.0,3,log2,0.5010224948875256
94,100,15.0,5,sqrt,0.5102249488752556
95,100,15.0,5,log2,0.523517382413088
96,100,15.0,10,sqrt,0.5143149284253579
97,100,15.0,10,log2,0.5112474437627812
98,100,15.0,50,sqrt,0.5286298568507157
99,100,15.0,50,log2,0.5081799591002045
100,100,20.0,2,sqrt,0.5132924335378323
101,100,20.0,2,log2,0.5204498977505112
102,100,20.0,3,sqrt,0.5184049079754601
103,100,20.0,3,log2,0.50920245398773
104,100,20.0,5,sqrt,0.5265848670756647
105,100,20.0,5,log2,0.5112474437627812
106,100,20.0,10,sqrt,0.516359918200409
107,100,20.0,10,log2,0.5184049079754601
108,100,20.0,50,sqrt,0.5061349693251533
109,100,20.0,50,log2,0.5132924335378323
110,100,,2,sqrt,0.5194274028629857
111,100,,2,log2,0.5276073619631901
112,100,,3,sqrt,0.5173824130879345
113,100,,3,log2,0.516359918200409
114,100,,5,sqrt,0.5255623721881391
115,100,,5,log2,0.5204498977505112
116,100,,10,sqrt,0.5153374233128835
117,100,,10,log2,0.5122699386503068
118,100,,50,sqrt,0.5
119,100,,50,log2,0.5
120,150,10.0,2,sqrt,0.5143149284253579
121,150,10.0,2,log2,0.5010224948875256
122,150,10.0,3,sqrt,0.5184049079754601
123,150,10.0,3,log2,0.5102249488752556
124,150,10.0,5,sqrt,0.49795501022494887
125,150,10.0,5,log2,0.5214723926380368
126,150,10.0,10,sqrt,0.5173824130879345
127,150,10.0,10,log2,0.5194274028629857
128,150,10.0,50,sqrt,0.5143149284253579
129,150,10.0,50,log2,0.5081799591002045
130,150,15.0,2,sqrt,0.5020449897750511
131,150,15.0,2,log2,0.49897750511247446
132,150,15.0,3,sqrt,0.5061349693251533
133,150,15.0,3,log2,0.5122699386503068
134,150,15.0,5,sqrt,0.5204498977505112
135,150,15.0,5,log2,0.516359918200409
136,150,15.0,10,sqrt,0.5153374233128835
137,150,15.0,10,log2,0.5143149284253579
138,150,15.0,50,sqrt,0.49897750511247446
139,150,15.0,50,log2,0.5051124744376279
140,150,20.0,2,sqrt,0.5132924335378323
141,150,20.0,2,log2,0.5132924335378323
142,150,20.0,3,sqrt,0.5132924335378323
143,150,20.0,3,log2,0.5245398773006135
144,150,20.0,5,sqrt,0.5132924335378323
145,150,20.0,5,log2,0.5132924335378323
146,150,20.0,10,sqrt,0.5173824130879345
147,150,20.0,10,log2,0.5122699386503068
148,150,20.0,50,sqrt,0.50920245398773
149,150,20.0,50,log2,0.5194274028629857
150,150,,2,sqrt,0.5276073619631901
151,150,,2,log2,0.5255623721881391
152,150,,3,sqrt,0.5214723926380368
153,150,,3,log2,0.5173824130879345
154,150,,5,sqrt,0.5173824130879345
155,150,,5,log2,0.523517382413088
156,150,,10,sqrt,0.5122699386503068
157,150,,10,log2,0.5143149284253579
158,150,,50,sqrt,0.5102249488752556
159,150,,50,log2,0.5010224948875256
160,200,10.0,2,sqrt,0.5102249488752556
161,200,10.0,2,log2,0.5102249488752556
162,200,10.0,3,sqrt,0.516359918200409
163,200,10.0,3,log2,0.5061349693251533
164,200,10.0,5,sqrt,0.5112474437627812
165,200,10.0,5,log2,0.5204498977505112
166,200,10.0,10,sqrt,0.5265848670756647
167,200,10.0,10,log2,0.5061349693251533
168,200,10.0,50,sqrt,0.5040899795501023
169,200,10.0,50,log2,0.5051124744376279
170,200,15.0,2,sqrt,0.523517382413088
171,200,15.0,2,log2,0.5081799591002045
172,200,15.0,3,sqrt,0.5204498977505112
173,200,15.0,3,log2,0.5132924335378323
174,200,15.0,5,sqrt,0.5153374233128835
175,200,15.0,5,log2,0.5184049079754601
176,200,15.0,10,sqrt,0.5071574642126789
177,200,15.0,10,log2,0.5122699386503068
178,200,15.0,50,sqrt,0.5061349693251533
179,200,15.0,50,log2,0.5010224948875256
180,200,20.0,2,sqrt,0.5132924335378323
181,200,20.0,2,log2,0.5071574642126789
182,200,20.0,3,sqrt,0.5194274028629857
183,200,20.0,3,log2,0.5316973415132924
184,200,20.0,5,sqrt,0.5173824130879345
185,200,20.0,5,log2,0.5214723926380368
186,200,20.0,10,sqrt,0.523517382413088
187,200,20.0,10,log2,0.5265848670756647
188,200,20.0,50,sqrt,0.5224948875255624
189,200,20.0,50,log2,0.5071574642126789
190,200,,2,sqrt,0.5132924335378323
191,200,,2,log2,0.5184049079754601
192,200,,3,sqrt,0.5204498977505112
193,200,,3,log2,0.5081799591002045
194,200,,5,sqrt,0.5173824130879345
195,200,,5,log2,0.5214723926380368
196,200,,10,sqrt,0.5051124744376279
197,200,,10,log2,0.5102249488752556
198,200,,50,sqrt,0.5214723926380368
199,200,,50,log2,0.49693251533742333
