,n_estimators,max_depth,min_samples_split,max_features,accuracy
0,25,10.0,2,sqrt,0.5379901960784313
1,25,10.0,2,log2,0.5355392156862745
2,25,10.0,2,,0.5318627450980392
3,25,10.0,3,sqrt,0.5392156862745098
4,25,10.0,3,log2,0.5294117647058824
5,25,10.0,3,,0.5306372549019608
6,25,10.0,5,sqrt,0.5355392156862745
7,25,10.0,5,log2,0.5551470588235294
8,25,10.0,5,,0.5171568627450981
9,25,10.0,10,sqrt,0.5551470588235294
10,25,10.0,10,log2,0.5343137254901961
11,25,10.0,10,,0.5343137254901961
12,25,10.0,50,sqrt,0.5306372549019608
13,25,10.0,50,log2,0.5220588235294118
14,25,10.0,50,,0.5281862745098039
15,25,15.0,2,sqrt,0.5477941176470589
16,25,15.0,2,log2,0.5367647058823529
17,25,15.0,2,,0.5294117647058824
18,25,15.0,3,sqrt,0.5257352941176471
19,25,15.0,3,log2,0.5428921568627451
20,25,15.0,3,,0.5294117647058824
21,25,15.0,5,sqrt,0.5269607843137255
22,25,15.0,5,log2,0.5453431372549019
23,25,15.0,5,,0.5441176470588235
24,25,15.0,10,sqrt,0.5514705882352942
25,25,15.0,10,log2,0.5392156862745098
26,25,15.0,10,,0.553921568627451
27,25,15.0,50,sqrt,0.508578431372549
28,25,15.0,50,log2,0.5232843137254902
29,25,15.0,50,,0.5220588235294118
30,25,20.0,2,sqrt,0.5551470588235294
31,25,20.0,2,log2,0.5355392156862745
32,25,20.0,2,,0.5392156862745098
33,25,20.0,3,sqrt,0.5441176470588235
34,25,20.0,3,log2,0.5428921568627451
35,25,20.0,3,,0.5490196078431373
36,25,20.0,5,sqrt,0.5392156862745098
37,25,20.0,5,log2,0.5453431372549019
38,25,20.0,5,,0.5551470588235294
39,25,20.0,10,sqrt,0.5330882352941176
40,25,20.0,10,log2,0.5502450980392157
41,25,20.0,10,,0.5159313725490197
42,25,20.0,50,sqrt,0.553921568627451
43,25,20.0,50,log2,0.5281862745098039
44,25,20.0,50,,0.5208333333333334
45,25,,2,sqrt,0.5294117647058824
46,25,,2,log2,0.5490196078431373
47,25,,2,,0.5367647058823529
48,25,,3,sqrt,0.5441176470588235
49,25,,3,log2,0.5477941176470589
50,25,,3,,0.5306372549019608
51,25,,5,sqrt,0.5416666666666666
52,25,,5,log2,0.5465686274509803
53,25,,5,,0.5526960784313726
54,25,,10,sqrt,0.5281862745098039
55,25,,10,log2,0.5281862745098039
56,25,,10,,0.5208333333333334
57,25,,50,sqrt,0.5257352941176471
58,25,,50,log2,0.5294117647058824
59,25,,50,,0.5098039215686274
60,50,10.0,2,sqrt,0.5330882352941176
61,50,10.0,2,log2,0.5343137254901961
62,50,10.0,2,,0.5416666666666666
63,50,10.0,3,sqrt,0.5318627450980392
64,50,10.0,3,log2,0.5379901960784313
65,50,10.0,3,,0.5196078431372549
66,50,10.0,5,sqrt,0.5367647058823529
67,50,10.0,5,log2,0.5379901960784313
68,50,10.0,5,,0.5232843137254902
69,50,10.0,10,sqrt,0.5330882352941176
70,50,10.0,10,log2,0.5318627450980392
71,50,10.0,10,,0.5343137254901961
72,50,10.0,50,sqrt,0.5306372549019608
73,50,10.0,50,log2,0.5257352941176471
74,50,10.0,50,,0.5379901960784313
75,50,15.0,2,sqrt,0.5465686274509803
76,50,15.0,2,log2,0.5477941176470589
77,50,15.0,2,,0.5428921568627451
78,50,15.0,3,sqrt,0.5625
79,50,15.0,3,log2,0.5490196078431373
80,50,15.0,3,,0.5514705882352942
81,50,15.0,5,sqrt,0.5514705882352942
82,50,15.0,5,log2,0.5526960784313726
83,50,15.0,5,,0.5490196078431373
84,50,15.0,10,sqrt,0.5428921568627451
85,50,15.0,10,log2,0.5355392156862745
86,50,15.0,10,,0.5171568627450981
87,50,15.0,50,sqrt,0.5208333333333334
88,50,15.0,50,log2,0.5514705882352942
89,50,15.0,50,,0.5306372549019608
90,50,20.0,2,sqrt,0.5379901960784313
91,50,20.0,2,log2,0.553921568627451
92,50,20.0,2,,0.5220588235294118
93,50,20.0,3,sqrt,0.5502450980392157
94,50,20.0,3,log2,0.5416666666666666
95,50,20.0,3,,0.5343137254901961
96,50,20.0,5,sqrt,0.5526960784313726
97,50,20.0,5,log2,0.5551470588235294
98,50,20.0,5,,0.5343137254901961
99,50,20.0,10,sqrt,0.5428921568627451
100,50,20.0,10,log2,0.5600490196078431
101,50,20.0,10,,0.5343137254901961
102,50,20.0,50,sqrt,0.5477941176470589
103,50,20.0,50,log2,0.5318627450980392
104,50,20.0,50,,0.5416666666666666
105,50,,2,sqrt,0.5490196078431373
106,50,,2,log2,0.5588235294117647
107,50,,2,,0.5392156862745098
108,50,,3,sqrt,0.5441176470588235
109,50,,3,log2,0.5465686274509803
110,50,,3,,0.5477941176470589
111,50,,5,sqrt,0.5588235294117647
112,50,,5,log2,0.553921568627451
113,50,,5,,0.5649509803921569
114,50,,10,sqrt,0.5318627450980392
115,50,,10,log2,0.5490196078431373
116,50,,10,,0.5465686274509803
117,50,,50,sqrt,0.5465686274509803
118,50,,50,log2,0.5269607843137255
119,50,,50,,0.5183823529411765
120,100,10.0,2,sqrt,0.5465686274509803
121,100,10.0,2,log2,0.5330882352941176
122,100,10.0,2,,0.5477941176470589
123,100,10.0,3,sqrt,0.5392156862745098
124,100,10.0,3,log2,0.5428921568627451
125,100,10.0,3,,0.5343137254901961
126,100,10.0,5,sqrt,0.5404411764705882
127,100,10.0,5,log2,0.5355392156862745
128,100,10.0,5,,0.5232843137254902
129,100,10.0,10,sqrt,0.5477941176470589
130,100,10.0,10,log2,0.5306372549019608
131,100,10.0,10,,0.5575980392156863
132,100,10.0,50,sqrt,0.5428921568627451
133,100,10.0,50,log2,0.5428921568627451
134,100,10.0,50,,0.5306372549019608
135,100,15.0,2,sqrt,0.5649509803921569
136,100,15.0,2,log2,0.5502450980392157
137,100,15.0,2,,0.553921568627451
138,100,15.0,3,sqrt,0.5441176470588235
139,100,15.0,3,log2,0.553921568627451
140,100,15.0,3,,0.5465686274509803
141,100,15.0,5,sqrt,0.5625
142,100,15.0,5,log2,0.5355392156862745
143,100,15.0,5,,0.5686274509803921
144,100,15.0,10,sqrt,0.5306372549019608
145,100,15.0,10,log2,0.5477941176470589
146,100,15.0,10,,0.5441176470588235
147,100,15.0,50,sqrt,0.5477941176470589
148,100,15.0,50,log2,0.5416666666666666
149,100,15.0,50,,0.5343137254901961
150,100,20.0,2,sqrt,0.5404411764705882
151,100,20.0,2,log2,0.5514705882352942
152,100,20.0,2,,0.5428921568627451
153,100,20.0,3,sqrt,0.5600490196078431
154,100,20.0,3,log2,0.5600490196078431
