,n_estimators,max_depth,min_samples_split,max_features,accuracy,precision
0,25,10.0,2,sqrt,0.496309963099631,0.5093795093795094
1,25,10.0,2,log2,0.4949261992619926,0.5090337784760408
2,25,10.0,3,sqrt,0.47601476014760147,0.49324324324324326
3,25,10.0,3,log2,0.5032287822878229,0.5147588192944564
4,25,10.0,5,sqrt,0.4833948339483395,0.4992764109985528
5,25,10.0,5,log2,0.48616236162361626,0.5014064697609001
6,25,10.0,10,sqrt,0.5,0.5121082621082621
7,25,10.0,10,log2,0.4935424354243542,0.5075528700906344
8,25,10.0,50,sqrt,0.4875461254612546,0.5025716385011021
9,25,10.0,50,log2,0.5023062730627307,0.5137420718816068
10,25,15.0,2,sqrt,0.49400369003690037,0.5080707148347425
11,25,15.0,2,log2,0.49584870848708484,0.5091575091575091
12,25,15.0,3,sqrt,0.4870848708487085,0.5024311183144247
13,25,15.0,3,log2,0.49031365313653136,0.5053147996729354
14,25,15.0,5,sqrt,0.4870848708487085,0.5025951557093425
15,25,15.0,5,log2,0.48108856088560886,0.4972804972804973
16,25,15.0,10,sqrt,0.49953874538745385,0.5129819040125885
17,25,15.0,10,log2,0.48154981549815495,0.4974137931034483
18,25,15.0,50,sqrt,0.48662361623616235,0.501810282404055
19,25,15.0,50,log2,0.49031365313653136,0.5046197583511016
20,25,20.0,2,sqrt,0.4769372693726937,0.49356913183279744
21,25,20.0,2,log2,0.48293357933579334,0.4988009592326139
22,25,20.0,3,sqrt,0.4875461254612546,0.5030198446937014
23,25,20.0,3,log2,0.4797047970479705,0.49554367201426025
24,25,20.0,5,sqrt,0.5041512915129152,0.5187445510026155
25,25,20.0,5,log2,0.4907749077490775,0.5062388591800356
26,25,20.0,10,sqrt,0.48154981549815495,0.49748743718592964
27,25,20.0,10,log2,0.5064575645756457,0.5185185185185185
28,25,20.0,50,sqrt,0.477859778597786,0.49416666666666664
29,25,20.0,50,log2,0.47232472324723246,0.48976377952755906
30,25,,2,sqrt,0.49723247232472323,0.5118043844856661
31,25,,2,log2,0.48800738007380073,0.5037105751391465
32,25,,3,sqrt,0.4870848708487085,0.5026833631484794
33,25,,3,log2,0.48985239852398527,0.5050933786078099
34,25,,5,sqrt,0.49169741697416974,0.506568144499179
35,25,,5,log2,0.48616236162361626,0.5017699115044247
36,25,,10,sqrt,0.4976937269372694,0.5119735755573905
37,25,,10,log2,0.4949261992619926,0.5104640582347588
38,25,,50,sqrt,0.492619926199262,0.5071542130365659
39,25,,50,log2,0.49723247232472323,0.5117056856187291
40,50,10.0,2,sqrt,0.4893911439114391,0.5041635124905375
41,50,10.0,2,log2,0.5,0.5115489130434783
42,50,10.0,3,sqrt,0.4884686346863469,0.5032304379038047
