,n_estimators,max_depth,min_samples_split,max_features,accuracy
0,25,10.0,2,sqrt,0.4902962206332993
1,25,10.0,2,log2,0.5291113381001021
2,25,10.0,3,sqrt,0.5270684371807968
3,25,10.0,3,log2,0.5056179775280899
4,25,10.0,5,sqrt,0.48416751787538304
5,25,10.0,5,log2,0.5240040858018387
6,25,10.0,10,sqrt,0.5301327885597549
7,25,10.0,10,log2,0.5137895812053116
8,25,10.0,50,sqrt,0.5168539325842697
9,25,10.0,50,log2,0.4902962206332993
10,25,15.0,2,sqrt,0.491317671092952
11,25,15.0,2,log2,0.4974463738508682
12,25,15.0,3,sqrt,0.49846782431052095
13,25,15.0,3,log2,0.5168539325842697
14,25,15.0,5,sqrt,0.5035750766087844
15,25,15.0,5,log2,0.5076608784473953
16,25,15.0,10,sqrt,0.5107252298263534
17,25,15.0,10,log2,0.5168539325842697
18,25,15.0,50,sqrt,0.49846782431052095
19,25,15.0,50,log2,0.5280898876404494
20,25,20.0,2,sqrt,0.5137895812053116
21,25,20.0,2,log2,0.5280898876404494
22,25,20.0,3,sqrt,0.5137895812053116
23,25,20.0,3,log2,0.5005107252298263
24,25,20.0,5,sqrt,0.49846782431052095
25,25,20.0,5,log2,0.5097037793667007
26,25,20.0,10,sqrt,0.508682328907048
27,25,20.0,10,log2,0.5199182839632278
28,25,20.0,50,sqrt,0.4821246169560776
29,25,20.0,50,log2,0.5025536261491318
30,25,,2,sqrt,0.49948927477017363
31,25,,2,log2,0.5127681307456589
32,25,,3,sqrt,0.5148110316649642
33,25,,3,log2,0.49846782431052095
34,25,,5,sqrt,0.49846782431052095
35,25,,5,log2,0.5178753830439223
36,25,,10,sqrt,0.515832482124617
37,25,,10,log2,0.5066394279877426
38,25,,50,sqrt,0.5076608784473953
39,25,,50,log2,0.5188968335035751
40,50,10.0,2,sqrt,0.5188968335035751
41,50,10.0,2,log2,0.5178753830439223
42,50,10.0,3,sqrt,0.515832482124617
43,50,10.0,3,log2,0.5148110316649642
44,50,10.0,5,sqrt,0.5403472931562819
45,50,10.0,5,log2,0.5250255362614913
46,50,10.0,10,sqrt,0.5137895812053116
47,50,10.0,10,log2,0.5137895812053116
48,50,10.0,50,sqrt,0.4964249233912155
49,50,10.0,50,log2,0.5117466802860061
50,50,15.0,2,sqrt,0.5240040858018387
51,50,15.0,2,log2,0.5178753830439223
52,50,15.0,3,sqrt,0.5097037793667007
53,50,15.0,3,log2,0.5168539325842697
54,50,15.0,5,sqrt,0.5025536261491318
55,50,15.0,5,log2,0.5117466802860061
56,50,15.0,10,sqrt,0.5076608784473953
57,50,15.0,10,log2,0.5311542390194075
58,50,15.0,50,sqrt,0.49948927477017363
59,50,15.0,50,log2,0.5178753830439223
60,50,20.0,2,sqrt,0.5188968335035751
61,50,20.0,2,log2,0.5117466802860061
62,50,20.0,3,sqrt,0.5097037793667007
63,50,20.0,3,log2,0.5209397344228804
64,50,20.0,5,sqrt,0.5168539325842697
65,50,20.0,5,log2,0.4923391215526047
66,50,20.0,10,sqrt,0.508682328907048
67,50,20.0,10,log2,0.5209397344228804
68,50,20.0,50,sqrt,0.5148110316649642
69,50,20.0,50,log2,0.5229826353421859
70,50,,2,sqrt,0.5097037793667007
71,50,,2,log2,0.5209397344228804
72,50,,3,sqrt,0.5117466802860061
73,50,,3,log2,0.5240040858018387
74,50,,5,sqrt,0.5025536261491318
75,50,,5,log2,0.5209397344228804
76,50,,10,sqrt,0.5035750766087844
77,50,,10,log2,0.5280898876404494
78,50,,50,sqrt,0.5066394279877426
79,50,,50,log2,0.5148110316649642
80,100,10.0,2,sqrt,0.4943820224719101
81,100,10.0,2,log2,0.5199182839632278
82,100,10.0,3,sqrt,0.5076608784473953
83,100,10.0,3,log2,0.5107252298263534
84,100,10.0,5,sqrt,0.5240040858018387
85,100,10.0,5,log2,0.5209397344228804
86,100,10.0,10,sqrt,0.5199182839632278
87,100,10.0,10,log2,0.5229826353421859
88,100,10.0,50,sqrt,0.49846782431052095
89,100,10.0,50,log2,0.4974463738508682
90,100,15.0,2,sqrt,0.5076608784473953
91,100,15.0,2,log2,0.5045965270684372
92,100,15.0,3,sqrt,0.5240040858018387
93,100,15.0,3,log2,0.5117466802860061
94,100,15.0,5,sqrt,0.5229826353421859
95,100,15.0,5,log2,0.5250255362614913
96,100,15.0,10,sqrt,0.5229826353421859
97,100,15.0,10,log2,0.5219611848825332
98,100,15.0,50,sqrt,0.508682328907048
99,100,15.0,50,log2,0.491317671092952
100,100,20.0,2,sqrt,0.5250255362614913
101,100,20.0,2,log2,0.5127681307456589
102,100,20.0,3,sqrt,0.5168539325842697
103,100,20.0,3,log2,0.5209397344228804
104,100,20.0,5,sqrt,0.5127681307456589
105,100,20.0,5,log2,0.5240040858018387
106,100,20.0,10,sqrt,0.5137895812053116
107,100,20.0,10,log2,0.5240040858018387
108,100,20.0,50,sqrt,0.5168539325842697
109,100,20.0,50,log2,0.5219611848825332
110,100,,2,sqrt,0.5137895812053116
111,100,,2,log2,0.5097037793667007
112,100,,3,sqrt,0.5137895812053116
113,100,,3,log2,0.5178753830439223
114,100,,5,sqrt,0.5178753830439223
115,100,,5,log2,0.508682328907048
116,100,,10,sqrt,0.5321756894790602
117,100,,10,log2,0.5066394279877426
118,100,,50,sqrt,0.5097037793667007
119,100,,50,log2,0.5240040858018387
120,150,10.0,2,sqrt,0.5188968335035751
121,150,10.0,2,log2,0.5280898876404494
122,150,10.0,3,sqrt,0.5240040858018387
123,150,10.0,3,log2,0.5076608784473953
124,150,10.0,5,sqrt,0.49846782431052095
125,150,10.0,5,log2,0.5311542390194075
126,150,10.0,10,sqrt,0.5076608784473953
127,150,10.0,10,log2,0.5199182839632278
128,150,10.0,50,sqrt,0.5066394279877426
129,150,10.0,50,log2,0.5301327885597549
130,150,15.0,2,sqrt,0.5127681307456589
131,150,15.0,2,log2,0.5137895812053116
132,150,15.0,3,sqrt,0.5188968335035751
133,150,15.0,3,log2,0.5127681307456589
134,150,15.0,5,sqrt,0.5168539325842697
135,150,15.0,5,log2,0.5097037793667007
136,150,15.0,10,sqrt,0.5178753830439223
137,150,15.0,10,log2,0.5178753830439223
138,150,15.0,50,sqrt,0.4923391215526047
139,150,15.0,50,log2,0.5270684371807968
140,150,20.0,2,sqrt,0.5066394279877426
141,150,20.0,2,log2,0.5178753830439223
142,150,20.0,3,sqrt,0.5148110316649642
143,150,20.0,3,log2,0.5148110316649642
144,150,20.0,5,sqrt,0.515832482124617
145,150,20.0,5,log2,0.5127681307456589
146,150,20.0,10,sqrt,0.5127681307456589
147,150,20.0,10,log2,0.5270684371807968
148,150,20.0,50,sqrt,0.5188968335035751
149,150,20.0,50,log2,0.5301327885597549
150,150,,2,sqrt,0.5168539325842697
151,150,,2,log2,0.5137895812053116
152,150,,3,sqrt,0.5301327885597549
153,150,,3,log2,0.5229826353421859
154,150,,5,sqrt,0.5209397344228804
155,150,,5,log2,0.5148110316649642
156,150,,10,sqrt,0.5280898876404494
157,150,,10,log2,0.5107252298263534
158,150,,50,sqrt,0.5076608784473953
159,150,,50,log2,0.5209397344228804
160,200,10.0,2,sqrt,0.5035750766087844
161,200,10.0,2,log2,0.5178753830439223
162,200,10.0,3,sqrt,0.5270684371807968
163,200,10.0,3,log2,0.5178753830439223
164,200,10.0,5,sqrt,0.5035750766087844
165,200,10.0,5,log2,0.5117466802860061
166,200,10.0,10,sqrt,0.5342185903983657
167,200,10.0,10,log2,0.5199182839632278
168,200,10.0,50,sqrt,0.491317671092952
169,200,10.0,50,log2,0.5240040858018387
170,200,15.0,2,sqrt,0.5250255362614913
171,200,15.0,2,log2,0.5137895812053116
172,200,15.0,3,sqrt,0.5280898876404494
173,200,15.0,3,log2,0.5168539325842697
174,200,15.0,5,sqrt,0.5280898876404494
175,200,15.0,5,log2,0.5199182839632278
176,200,15.0,10,sqrt,0.5219611848825332
177,200,15.0,10,log2,0.5250255362614913
178,200,15.0,50,sqrt,0.5137895812053116
179,200,15.0,50,log2,0.5127681307456589
180,200,20.0,2,sqrt,0.5137895812053116
181,200,20.0,2,log2,0.5168539325842697
182,200,20.0,3,sqrt,0.5209397344228804
183,200,20.0,3,log2,0.508682328907048
184,200,20.0,5,sqrt,0.5097037793667007
185,200,20.0,5,log2,0.5107252298263534
186,200,20.0,10,sqrt,0.5117466802860061
187,200,20.0,10,log2,0.5127681307456589
188,200,20.0,50,sqrt,0.5229826353421859
189,200,20.0,50,log2,0.5035750766087844
190,200,,2,sqrt,0.515832482124617
191,200,,2,log2,0.5199182839632278
192,200,,3,sqrt,0.5127681307456589
193,200,,3,log2,0.5025536261491318
194,200,,5,sqrt,0.5148110316649642
195,200,,5,log2,0.5219611848825332
196,200,,10,sqrt,0.5178753830439223
197,200,,10,log2,0.5005107252298263
198,200,,50,sqrt,0.4974463738508682
199,200,,50,log2,0.5168539325842697
