,n_estimators,max_depth,min_samples_split,max_features,accuracy
0,25,10.0,2,sqrt,0.4840686274509804
1,25,10.0,2,log2,0.5122549019607843
2,25,10.0,3,sqrt,0.5122549019607843
3,25,10.0,3,log2,0.4987745098039216
4,25,10.0,5,sqrt,0.49754901960784315
5,25,10.0,5,log2,0.5122549019607843
6,25,10.0,10,sqrt,0.4950980392156863
7,25,10.0,10,log2,0.5061274509803921
8,25,10.0,50,sqrt,0.5294117647058824
9,25,10.0,50,log2,0.4852941176470588
10,25,15.0,2,sqrt,0.5049019607843137
11,25,15.0,2,log2,0.5147058823529411
12,25,15.0,3,sqrt,0.5
13,25,15.0,3,log2,0.47549019607843135
14,25,15.0,5,sqrt,0.5012254901960784
15,25,15.0,5,log2,0.49142156862745096
16,25,15.0,10,sqrt,0.5012254901960784
17,25,15.0,10,log2,0.49142156862745096
18,25,15.0,50,sqrt,0.49387254901960786
19,25,15.0,50,log2,0.5257352941176471
20,25,20.0,2,sqrt,0.47794117647058826
21,25,20.0,2,log2,0.49142156862745096
22,25,20.0,3,sqrt,0.4950980392156863
23,25,20.0,3,log2,0.5073529411764706
24,25,20.0,5,sqrt,0.508578431372549
25,25,20.0,5,log2,0.4877450980392157
26,25,20.0,10,sqrt,0.5171568627450981
27,25,20.0,10,log2,0.4963235294117647
28,25,20.0,50,sqrt,0.5232843137254902
29,25,20.0,50,log2,0.49387254901960786
30,25,,2,sqrt,0.5122549019607843
31,25,,2,log2,0.49019607843137253
32,25,,3,sqrt,0.5122549019607843
33,25,,3,log2,0.5232843137254902
34,25,,5,sqrt,0.5196078431372549
35,25,,5,log2,0.5355392156862745
36,25,,10,sqrt,0.49264705882352944
37,25,,10,log2,0.5159313725490197
38,25,,50,sqrt,0.4791666666666667
39,25,,50,log2,0.4987745098039216
40,50,10.0,2,sqrt,0.4950980392156863
41,50,10.0,2,log2,0.5049019607843137
42,50,10.0,3,sqrt,0.5073529411764706
43,50,10.0,3,log2,0.5024509803921569
44,50,10.0,5,sqrt,0.4889705882352941
45,50,10.0,5,log2,0.5122549019607843
46,50,10.0,10,sqrt,0.508578431372549
47,50,10.0,10,log2,0.5012254901960784
48,50,10.0,50,sqrt,0.49264705882352944
49,50,10.0,50,log2,0.5122549019607843
50,50,15.0,2,sqrt,0.5012254901960784
51,50,15.0,2,log2,0.5024509803921569
52,50,15.0,3,sqrt,0.5147058823529411
53,50,15.0,3,log2,0.49142156862745096
54,50,15.0,5,sqrt,0.5024509803921569
55,50,15.0,5,log2,0.5073529411764706
56,50,15.0,10,sqrt,0.4963235294117647
57,50,15.0,10,log2,0.5073529411764706
58,50,15.0,50,sqrt,0.4889705882352941
59,50,15.0,50,log2,0.49019607843137253
60,50,20.0,2,sqrt,0.5110294117647058
61,50,20.0,2,log2,0.5012254901960784
62,50,20.0,3,sqrt,0.49264705882352944
63,50,20.0,3,log2,0.5024509803921569
64,50,20.0,5,sqrt,0.49019607843137253
65,50,20.0,5,log2,0.5098039215686274
66,50,20.0,10,sqrt,0.5061274509803921
67,50,20.0,10,log2,0.5220588235294118
68,50,20.0,50,sqrt,0.5061274509803921
