,n_estimators,max_depth,min_samples_split,max_features,accuracy
0,25,10.0,2,sqrt,0.585
1,25,10.0,2,log2,0.5
2,25,10.0,2,,0.525
3,25,10.0,3,sqrt,0.52
4,25,10.0,3,log2,0.49
5,25,10.0,3,,0.53
6,25,10.0,5,sqrt,0.55
7,25,10.0,5,log2,0.555
8,25,10.0,5,,0.55
9,25,10.0,10,sqrt,0.545
10,25,10.0,10,log2,0.535
11,25,10.0,10,,0.525
12,25,10.0,50,sqrt,0.535
13,25,10.0,50,log2,0.57
14,25,10.0,50,,0.535
15,25,15.0,2,sqrt,0.545
16,25,15.0,2,log2,0.565
17,25,15.0,2,,0.52
18,25,15.0,3,sqrt,0.5
19,25,15.0,3,log2,0.58
20,25,15.0,3,,0.535
21,25,15.0,5,sqrt,0.55
22,25,15.0,5,log2,0.53
23,25,15.0,5,,0.53
24,25,15.0,10,sqrt,0.54
25,25,15.0,10,log2,0.535
26,25,15.0,10,,0.53
27,25,15.0,50,sqrt,0.51
28,25,15.0,50,log2,0.53
29,25,15.0,50,,0.53
30,25,20.0,2,sqrt,0.53
31,25,20.0,2,log2,0.56
32,25,20.0,2,,0.525
33,25,20.0,3,sqrt,0.54
34,25,20.0,3,log2,0.49
35,25,20.0,3,,0.49
36,25,20.0,5,sqrt,0.53
37,25,20.0,5,log2,0.515
38,25,20.0,5,,0.48
39,25,20.0,10,sqrt,0.515
40,25,20.0,10,log2,0.53
41,25,20.0,10,,0.505
42,25,20.0,50,sqrt,0.52
43,25,20.0,50,log2,0.545
44,25,20.0,50,,0.545
45,25,,2,sqrt,0.535
46,25,,2,log2,0.515
47,25,,2,,0.505
48,25,,3,sqrt,0.53
49,25,,3,log2,0.58
50,25,,3,,0.52
51,25,,5,sqrt,0.57
52,25,,5,log2,0.51
53,25,,5,,0.515
54,25,,10,sqrt,0.505
55,25,,10,log2,0.555
56,25,,10,,0.455
57,25,,50,sqrt,0.525
58,25,,50,log2,0.57
59,25,,50,,0.53
60,50,10.0,2,sqrt,0.565
61,50,10.0,2,log2,0.505
62,50,10.0,2,,0.545
63,50,10.0,3,sqrt,0.55
64,50,10.0,3,log2,0.495
65,50,10.0,3,,0.485
66,50,10.0,5,sqrt,0.55
67,50,10.0,5,log2,0.575
68,50,10.0,5,,0.54
69,50,10.0,10,sqrt,0.515
70,50,10.0,10,log2,0.545
71,50,10.0,10,,0.53
72,50,10.0,50,sqrt,0.52
73,50,10.0,50,log2,0.545
74,50,10.0,50,,0.565
75,50,15.0,2,sqrt,0.52
76,50,15.0,2,log2,0.52
77,50,15.0,2,,0.505
78,50,15.0,3,sqrt,0.515
79,50,15.0,3,log2,0.525
80,50,15.0,3,,0.555
81,50,15.0,5,sqrt,0.52
82,50,15.0,5,log2,0.55
83,50,15.0,5,,0.54
84,50,15.0,10,sqrt,0.525
85,50,15.0,10,log2,0.52
86,50,15.0,10,,0.52
87,50,15.0,50,sqrt,0.535
88,50,15.0,50,log2,0.525
89,50,15.0,50,,0.545
90,50,20.0,2,sqrt,0.525
91,50,20.0,2,log2,0.545
92,50,20.0,2,,0.515
93,50,20.0,3,sqrt,0.52
94,50,20.0,3,log2,0.545
95,50,20.0,3,,0.52
96,50,20.0,5,sqrt,0.545
97,50,20.0,5,log2,0.485
98,50,20.0,5,,0.495
99,50,20.0,10,sqrt,0.555
100,50,20.0,10,log2,0.52
101,50,20.0,10,,0.54
102,50,20.0,50,sqrt,0.54
103,50,20.0,50,log2,0.535
104,50,20.0,50,,0.545
105,50,,2,sqrt,0.56
106,50,,2,log2,0.545
107,50,,2,,0.535
108,50,,3,sqrt,0.54
109,50,,3,log2,0.51
110,50,,3,,0.51
111,50,,5,sqrt,0.525
112,50,,5,log2,0.51
113,50,,5,,0.47
114,50,,10,sqrt,0.525
115,50,,10,log2,0.545
116,50,,10,,0.525
117,50,,50,sqrt,0.54
118,50,,50,log2,0.53
119,50,,50,,0.565
120,100,10.0,2,sqrt,0.5
121,100,10.0,2,log2,0.55
122,100,10.0,2,,0.53
123,100,10.0,3,sqrt,0.535
124,100,10.0,3,log2,0.575
125,100,10.0,3,,0.505
126,100,10.0,5,sqrt,0.52
127,100,10.0,5,log2,0.565
128,100,10.0,5,,0.525
129,100,10.0,10,sqrt,0.535
130,100,10.0,10,log2,0.515
131,100,10.0,10,,0.57
132,100,10.0,50,sqrt,0.525
133,100,10.0,50,log2,0.5
134,100,10.0,50,,0.505
135,100,15.0,2,sqrt,0.53
136,100,15.0,2,log2,0.515
137,100,15.0,2,,0.455
138,100,15.0,3,sqrt,0.54
139,100,15.0,3,log2,0.535
140,100,15.0,3,,0.55
141,100,15.0,5,sqrt,0.545
142,100,15.0,5,log2,0.515
143,100,15.0,5,,0.55
144,100,15.0,10,sqrt,0.54
145,100,15.0,10,log2,0.56
146,100,15.0,10,,0.505
147,100,15.0,50,sqrt,0.55
148,100,15.0,50,log2,0.525
149,100,15.0,50,,0.54
150,100,20.0,2,sqrt,0.54
151,100,20.0,2,log2,0.54
152,100,20.0,2,,0.515
153,100,20.0,3,sqrt,0.54
154,100,20.0,3,log2,0.545
155,100,20.0,3,,0.555
156,100,20.0,5,sqrt,0.535
157,100,20.0,5,log2,0.515
158,100,20.0,5,,0.525
159,100,20.0,10,sqrt,0.545
160,100,20.0,10,log2,0.525
161,100,20.0,10,,0.53
162,100,20.0,50,sqrt,0.565
163,100,20.0,50,log2,0.54
164,100,20.0,50,,0.545
165,100,,2,sqrt,0.54
166,100,,2,log2,0.54
167,100,,2,,0.5
168,100,,3,sqrt,0.535
169,100,,3,log2,0.52
170,100,,3,,0.505
171,100,,5,sqrt,0.555
172,100,,5,log2,0.505
173,100,,5,,0.52
174,100,,10,sqrt,0.555
175,100,,10,log2,0.535
176,100,,10,,0.515
177,100,,50,sqrt,0.525
178,100,,50,log2,0.55
179,100,,50,,0.56
180,150,10.0,2,sqrt,0.535
181,150,10.0,2,log2,0.535
182,150,10.0,2,,0.5
183,150,10.0,3,sqrt,0.55
184,150,10.0,3,log2,0.53
185,150,10.0,3,,0.545
186,150,10.0,5,sqrt,0.515
187,150,10.0,5,log2,0.54
188,150,10.0,5,,0.51
189,150,10.0,10,sqrt,0.585
190,150,10.0,10,log2,0.535
191,150,10.0,10,,0.52
192,150,10.0,50,sqrt,0.53
193,150,10.0,50,log2,0.545
194,150,10.0,50,,0.53
195,150,15.0,2,sqrt,0.52
196,150,15.0,2,log2,0.55
197,150,15.0,2,,0.535
198,150,15.0,3,sqrt,0.52
199,150,15.0,3,log2,0.525
200,150,15.0,3,,0.51
201,150,15.0,5,sqrt,0.545
202,150,15.0,5,log2,0.545
203,150,15.0,5,,0.55
204,150,15.0,10,sqrt,0.52
205,150,15.0,10,log2,0.54
206,150,15.0,10,,0.565
207,150,15.0,50,sqrt,0.535
208,150,15.0,50,log2,0.57
209,150,15.0,50,,0.525
210,150,20.0,2,sqrt,0.53
211,150,20.0,2,log2,0.555
212,150,20.0,2,,0.54
213,150,20.0,3,sqrt,0.515
214,150,20.0,3,log2,0.54
215,150,20.0,3,,0.505
216,150,20.0,5,sqrt,0.545
217,150,20.0,5,log2,0.525
218,150,20.0,5,,0.49
219,150,20.0,10,sqrt,0.565
220,150,20.0,10,log2,0.505
221,150,20.0,10,,0.53
222,150,20.0,50,sqrt,0.535
223,150,20.0,50,log2,0.535
224,150,20.0,50,,0.53
225,150,,2,sqrt,0.535
226,150,,2,log2,0.54
227,150,,2,,0.535
228,150,,3,sqrt,0.53
229,150,,3,log2,0.515
230,150,,3,,0.505
231,150,,5,sqrt,0.54
232,150,,5,log2,0.525
233,150,,5,,0.525
234,150,,10,sqrt,0.535
235,150,,10,log2,0.54
236,150,,10,,0.515
237,150,,50,sqrt,0.535
238,150,,50,log2,0.54
239,150,,50,,0.51
240,200,10.0,2,sqrt,0.555
241,200,10.0,2,log2,0.535
242,200,10.0,2,,0.52
243,200,10.0,3,sqrt,0.525
244,200,10.0,3,log2,0.55
245,200,10.0,3,,0.545
246,200,10.0,5,sqrt,0.54
247,200,10.0,5,log2,0.54
248,200,10.0,5,,0.505
249,200,10.0,10,sqrt,0.55
250,200,10.0,10,log2,0.54
251,200,10.0,10,,0.53
252,200,10.0,50,sqrt,0.515
253,200,10.0,50,log2,0.54
254,200,10.0,50,,0.515
255,200,15.0,2,sqrt,0.53
256,200,15.0,2,log2,0.535
257,200,15.0,2,,0.535
258,200,15.0,3,sqrt,0.52
259,200,15.0,3,log2,0.525
260,200,15.0,3,,0.51
261,200,15.0,5,sqrt,0.55
262,200,15.0,5,log2,0.545
263,200,15.0,5,,0.53
264,200,15.0,10,sqrt,0.51
265,200,15.0,10,log2,0.545
266,200,15.0,10,,0.56
267,200,15.0,50,sqrt,0.54
268,200,15.0,50,log2,0.56
269,200,15.0,50,,0.54
270,200,20.0,2,sqrt,0.555
271,200,20.0,2,log2,0.545
272,200,20.0,2,,0.525
273,200,20.0,3,sqrt,0.53
274,200,20.0,3,log2,0.545
275,200,20.0,3,,0.55
276,200,20.0,5,sqrt,0.545
277,200,20.0,5,log2,0.53
278,200,20.0,5,,0.535
279,200,20.0,10,sqrt,0.525
280,200,20.0,10,log2,0.515
281,200,20.0,10,,0.555
282,200,20.0,50,sqrt,0.55
283,200,20.0,50,log2,0.54
284,200,20.0,50,,0.5
285,200,,2,sqrt,0.55
286,200,,2,log2,0.535
287,200,,2,,0.53
288,200,,3,sqrt,0.53
289,200,,3,log2,0.525
290,200,,3,,0.54
291,200,,5,sqrt,0.545
292,200,,5,log2,0.53
293,200,,5,,0.53
294,200,,10,sqrt,0.545
295,200,,10,log2,0.545
296,200,,10,,0.525
297,200,,50,sqrt,0.565
298,200,,50,log2,0.55
299,200,,50,,0.495
