,n_estimators,max_depth,min_samples_split,max_features,accuracy
0,25,10.0,2,sqrt,0.4907749077490775
1,25,10.0,2,log2,0.5050738007380073
2,25,10.0,3,sqrt,0.47878228782287824
3,25,10.0,3,log2,0.4949261992619926
4,25,10.0,5,sqrt,0.48800738007380073
5,25,10.0,5,log2,0.5083025830258303
6,25,10.0,10,sqrt,0.496309963099631
7,25,10.0,10,log2,0.49538745387453875
8,25,10.0,50,sqrt,0.49723247232472323
9,25,10.0,50,log2,0.4893911439114391
10,25,15.0,2,sqrt,0.488929889298893
11,25,15.0,2,log2,0.49400369003690037
12,25,15.0,3,sqrt,0.5
13,25,15.0,3,log2,0.496309963099631
14,25,15.0,5,sqrt,0.48108856088560886
15,25,15.0,5,log2,0.4921586715867159
16,25,15.0,10,sqrt,0.4783210332103321
17,25,15.0,10,log2,0.4981549815498155
18,25,15.0,50,sqrt,0.4921586715867159
19,25,15.0,50,log2,0.4912361623616236
20,25,20.0,2,sqrt,0.49723247232472323
21,25,20.0,2,log2,0.49400369003690037
22,25,20.0,3,sqrt,0.5013837638376384
23,25,20.0,3,log2,0.4820110701107011
24,25,20.0,5,sqrt,0.48985239852398527
25,25,20.0,5,log2,0.49538745387453875
26,25,20.0,10,sqrt,0.49169741697416974
27,25,20.0,10,log2,0.5032287822878229
28,25,20.0,50,sqrt,0.4935424354243542
29,25,20.0,50,log2,0.48247232472324725
30,25,,2,sqrt,0.49169741697416974
31,25,,2,log2,0.47739852398523985
32,25,,3,sqrt,0.5041512915129152
33,25,,3,log2,0.4944649446494465
34,25,,5,sqrt,0.49953874538745385
35,25,,5,log2,0.48477859778597787
36,25,,10,sqrt,0.4944649446494465
37,25,,10,log2,0.49677121771217714
38,25,,50,sqrt,0.49308118081180813
39,25,,50,log2,0.5013837638376384
40,50,10.0,2,sqrt,0.49723247232472323
41,50,10.0,2,log2,0.5018450184501845
42,50,10.0,3,sqrt,0.4986162361623616
43,50,10.0,3,log2,0.5069188191881919
44,50,10.0,5,sqrt,0.49400369003690037
45,50,10.0,5,log2,0.48523985239852396
46,50,10.0,10,sqrt,0.4907749077490775
47,50,10.0,10,log2,0.5013837638376384
48,50,10.0,50,sqrt,0.4884686346863469
49,50,10.0,50,log2,0.49400369003690037
50,50,15.0,2,sqrt,0.49538745387453875
51,50,15.0,2,log2,0.4986162361623616
52,50,15.0,3,sqrt,0.5041512915129152
53,50,15.0,3,log2,0.492619926199262
54,50,15.0,5,sqrt,0.4921586715867159
55,50,15.0,5,log2,0.5004612546125461
56,50,15.0,10,sqrt,0.4870848708487085
57,50,15.0,10,log2,0.49031365313653136
58,50,15.0,50,sqrt,0.49723247232472323
59,50,15.0,50,log2,0.4870848708487085
60,50,20.0,2,sqrt,0.49538745387453875
61,50,20.0,2,log2,0.49308118081180813
62,50,20.0,3,sqrt,0.4949261992619926
63,50,20.0,3,log2,0.4884686346863469
64,50,20.0,5,sqrt,0.4833948339483395
65,50,20.0,5,log2,0.5
66,50,20.0,10,sqrt,0.4907749077490775
67,50,20.0,10,log2,0.5013837638376384
68,50,20.0,50,sqrt,0.48985239852398527
69,50,20.0,50,log2,0.48800738007380073
70,50,,2,sqrt,0.49031365313653136
71,50,,2,log2,0.48477859778597787
72,50,,3,sqrt,0.5004612546125461
73,50,,3,log2,0.4884686346863469
74,50,,5,sqrt,0.4875461254612546
75,50,,5,log2,0.49169741697416974
76,50,,10,sqrt,0.5018450184501845
77,50,,10,log2,0.4935424354243542
78,50,,50,sqrt,0.49031365313653136
79,50,,50,log2,0.48616236162361626
80,100,10.0,2,sqrt,0.49584870848708484
81,100,10.0,2,log2,0.496309963099631
82,100,10.0,3,sqrt,0.49953874538745385
83,100,10.0,3,log2,0.48385608856088563
84,100,10.0,5,sqrt,0.4981549815498155
85,100,10.0,5,log2,0.49169741697416974
86,100,10.0,10,sqrt,0.4884686346863469
87,100,10.0,10,log2,0.49677121771217714
88,100,10.0,50,sqrt,0.4935424354243542
89,100,10.0,50,log2,0.49584870848708484
90,100,15.0,2,sqrt,0.4912361623616236
91,100,15.0,2,log2,0.48247232472324725
92,100,15.0,3,sqrt,0.4949261992619926
93,100,15.0,3,log2,0.49723247232472323
94,100,15.0,5,sqrt,0.49907749077490776
95,100,15.0,5,log2,0.5013837638376384
96,100,15.0,10,sqrt,0.48800738007380073
97,100,15.0,10,log2,0.4884686346863469
98,100,15.0,50,sqrt,0.49400369003690037
99,100,15.0,50,log2,0.5041512915129152
100,100,20.0,2,sqrt,0.5055350553505535
101,100,20.0,2,log2,0.48477859778597787
102,100,20.0,3,sqrt,0.49953874538745385
103,100,20.0,3,log2,0.49538745387453875
104,100,20.0,5,sqrt,0.5046125461254612
105,100,20.0,5,log2,0.492619926199262
106,100,20.0,10,sqrt,0.48154981549815495
107,100,20.0,10,log2,0.4976937269372694
108,100,20.0,50,sqrt,0.49953874538745385
109,100,20.0,50,log2,0.48662361623616235
110,100,,2,sqrt,0.49677121771217714
111,100,,2,log2,0.49584870848708484
112,100,,3,sqrt,0.496309963099631
113,100,,3,log2,0.4949261992619926
114,100,,5,sqrt,0.4949261992619926
115,100,,5,log2,0.48662361623616235
116,100,,10,sqrt,0.49169741697416974
117,100,,10,log2,0.4921586715867159
118,100,,50,sqrt,0.47878228782287824
119,100,,50,log2,0.4944649446494465
120,150,10.0,2,sqrt,0.4875461254612546
121,150,10.0,2,log2,0.4893911439114391
122,150,10.0,3,sqrt,0.4921586715867159
123,150,10.0,3,log2,0.48293357933579334
124,150,10.0,5,sqrt,0.48477859778597787
125,150,10.0,5,log2,0.48985239852398527
126,150,10.0,10,sqrt,0.49031365313653136
127,150,10.0,10,log2,0.49169741697416974
128,150,10.0,50,sqrt,0.49169741697416974
129,150,10.0,50,log2,0.5009225092250923
130,150,15.0,2,sqrt,0.4907749077490775
131,150,15.0,2,log2,0.4912361623616236
132,150,15.0,3,sqrt,0.4893911439114391
133,150,15.0,3,log2,0.49538745387453875
134,150,15.0,5,sqrt,0.4875461254612546
135,150,15.0,5,log2,0.49907749077490776
136,150,15.0,10,sqrt,0.49169741697416974
137,150,15.0,10,log2,0.4797047970479705
138,150,15.0,50,sqrt,0.4875461254612546
139,150,15.0,50,log2,0.4935424354243542
140,150,20.0,2,sqrt,0.49308118081180813
141,150,20.0,2,log2,0.5004612546125461
142,150,20.0,3,sqrt,0.4912361623616236
143,150,20.0,3,log2,0.49677121771217714
