,n_estimators,max_depth,min_samples_split,max_features,accuracy,precision
0,25,10.0,2,sqrt,0.4983833718244804,0.5108771929824562
1,25,10.0,2,log2,0.4900692840646651,0.5050270688321732
2,25,10.0,2,,0.5002309468822171,0.5136612021857924
3,25,10.0,3,sqrt,0.4928406466512702,0.5070631970260223
4,25,10.0,3,log2,0.49330254041570437,0.5073206442166911
5,25,10.0,3,,0.49191685912240185,0.5061908230152949
6,25,10.0,5,sqrt,0.49653579676674364,0.509447165850245
7,25,10.0,5,log2,0.49376443418013855,0.5079245283018868
8,25,10.0,5,,0.497459584295612,0.5107967237527923
9,25,10.0,10,sqrt,0.48914549653579675,0.5038220986796387
10,25,10.0,10,log2,0.5006928406466513,0.5134932533733133
11,25,10.0,10,,0.4854503464203233,0.5011441647597255
12,25,10.0,50,sqrt,0.4896073903002309,0.5048
13,25,10.0,50,log2,0.4840646651270208,0.5
14,25,10.0,50,,0.5071593533487297,0.5189969604863222
15,25,15.0,2,sqrt,0.4909930715935335,0.5056433408577878
16,25,15.0,2,log2,0.49468822170900695,0.5090054815974941
17,25,15.0,2,,0.48036951501154734,0.4967213114754098
18,25,15.0,3,sqrt,0.5043879907621247,0.5159420289855072
19,25,15.0,3,log2,0.49468822170900695,0.5086923658352229
20,25,15.0,3,,0.4859122401847575,0.5015503875968992
21,25,15.0,5,sqrt,0.4942263279445728,0.5084615384615384
22,25,15.0,5,log2,0.4882217090069284,0.5034272658035034
23,25,15.0,5,,0.5048498845265589,0.5162220620043259
24,25,15.0,10,sqrt,0.49191685912240185,0.506338553318419
25,25,15.0,10,log2,0.5039260969976905,0.5182978723404256
26,25,15.0,10,,0.4808314087759815,0.4974169741697417
27,25,15.0,50,sqrt,0.4914549653579677,0.5065040650406504
28,25,15.0,50,log2,0.497459584295612,0.511284046692607
29,25,15.0,50,,0.49653579676674364,0.5098612125639153
30,25,20.0,2,sqrt,0.497459584295612,0.512013256006628
31,25,20.0,2,log2,0.4956120092378753,0.5096974398758728
32,25,20.0,2,,0.49468822170900695,0.5104640582347588
33,25,20.0,3,sqrt,0.4997690531177829,0.5134069400630915
