,n_estimators,max_depth,min_samples_split,max_features,accuracy
0,25,10.0,2,sqrt,0.5153374233128835
1,25,10.0,2,log2,0.4938650306748466
2,25,10.0,2,,0.5214723926380368
3,25,10.0,3,sqrt,0.4948875255623722
4,25,10.0,3,log2,0.5132924335378323
5,25,10.0,3,,0.49591002044989774
6,25,10.0,5,sqrt,0.516359918200409
7,25,10.0,5,log2,0.5081799591002045
8,25,10.0,5,,0.5153374233128835
9,25,10.0,10,sqrt,0.49591002044989774
10,25,10.0,10,log2,0.5010224948875256
11,25,10.0,10,,0.523517382413088
12,25,10.0,50,sqrt,0.5337423312883436
13,25,10.0,50,log2,0.5194274028629857
14,25,10.0,50,,0.5112474437627812
15,25,15.0,2,sqrt,0.5061349693251533
16,25,15.0,2,log2,0.5153374233128835
17,25,15.0,2,,0.5030674846625767
18,25,15.0,3,sqrt,0.5153374233128835
19,25,15.0,3,log2,0.5204498977505112
20,25,15.0,3,,0.5040899795501023
21,25,15.0,5,sqrt,0.5122699386503068
22,25,15.0,5,log2,0.5010224948875256
23,25,15.0,5,,0.5143149284253579
24,25,15.0,10,sqrt,0.5
25,25,15.0,10,log2,0.5112474437627812
26,25,15.0,10,,0.5010224948875256
27,25,15.0,50,sqrt,0.5255623721881391
28,25,15.0,50,log2,0.50920245398773
29,25,15.0,50,,0.5020449897750511
30,25,20.0,2,sqrt,0.5184049079754601
31,25,20.0,2,log2,0.4938650306748466
32,25,20.0,2,,0.5255623721881391
33,25,20.0,3,sqrt,0.5265848670756647
34,25,20.0,3,log2,0.5184049079754601
35,25,20.0,3,,0.5010224948875256
36,25,20.0,5,sqrt,0.5102249488752556
37,25,20.0,5,log2,0.5184049079754601
38,25,20.0,5,,0.49795501022494887
39,25,20.0,10,sqrt,0.5102249488752556
40,25,20.0,10,log2,0.5255623721881391
41,25,20.0,10,,0.5020449897750511
42,25,20.0,50,sqrt,0.5245398773006135
43,25,20.0,50,log2,0.5061349693251533
44,25,20.0,50,,0.49795501022494887
45,25,,2,sqrt,0.4775051124744376
46,25,,2,log2,0.516359918200409
47,25,,2,,0.4775051124744376
48,25,,3,sqrt,0.49591002044989774
49,25,,3,log2,0.48773006134969327
50,25,,3,,0.5112474437627812
51,25,,5,sqrt,0.5316973415132924
52,25,,5,log2,0.532719836400818
53,25,,5,,0.5081799591002045
54,25,,10,sqrt,0.5
55,25,,10,log2,0.5224948875255624
56,25,,10,,0.5
57,25,,50,sqrt,0.5214723926380368
58,25,,50,log2,0.523517382413088
59,25,,50,,0.5245398773006135
60,50,10.0,2,sqrt,0.5204498977505112
61,50,10.0,2,log2,0.5245398773006135
62,50,10.0,2,,0.5122699386503068
63,50,10.0,3,sqrt,0.5337423312883436
64,50,10.0,3,log2,0.5132924335378323
65,50,10.0,3,,0.5286298568507157
66,50,10.0,5,sqrt,0.5296523517382413
67,50,10.0,5,log2,0.516359918200409
68,50,10.0,5,,0.5173824130879345
69,50,10.0,10,sqrt,0.49897750511247446
70,50,10.0,10,log2,0.5112474437627812
71,50,10.0,10,,0.5184049079754601
72,50,10.0,50,sqrt,0.5245398773006135
73,50,10.0,50,log2,0.5214723926380368
