,n_estimators,max_depth,learning_rate,min_child_weight,gamma,accuracy
0,25,10.0,0.01,1,0.0,0.5045965270684372
1,25,10.0,0.01,1,0.1,0.49948927477017363
2,25,10.0,0.01,1,0.2,0.5045965270684372
3,25,10.0,0.01,1,0.3,0.5025536261491318
4,25,10.0,0.01,2,0.0,0.4974463738508682
5,25,10.0,0.01,2,0.1,0.4964249233912155
6,25,10.0,0.01,2,0.2,0.4974463738508682
7,25,10.0,0.01,2,0.3,0.48927477017364657
8,25,10.0,0.01,3,0.0,0.5025536261491318
9,25,10.0,0.01,3,0.1,0.5025536261491318
10,25,10.0,0.01,3,0.2,0.5025536261491318
11,25,10.0,0.01,3,0.3,0.5025536261491318
12,25,10.0,0.01,4,0.0,0.5025536261491318
13,25,10.0,0.01,4,0.1,0.5025536261491318
14,25,10.0,0.01,4,0.2,0.5005107252298263
15,25,10.0,0.01,4,0.3,0.5025536261491318
16,25,10.0,0.1,1,0.0,0.5035750766087844
17,25,10.0,0.1,1,0.1,0.5199182839632278
18,25,10.0,0.1,1,0.2,0.5219611848825332
19,25,10.0,0.1,1,0.3,0.508682328907048
20,25,10.0,0.1,2,0.0,0.5045965270684372
21,25,10.0,0.1,2,0.1,0.5107252298263534
22,25,10.0,0.1,2,0.2,0.5117466802860061
23,25,10.0,0.1,2,0.3,0.5117466802860061
24,25,10.0,0.1,3,0.0,0.4974463738508682
25,25,10.0,0.1,3,0.1,0.48621041879468846
26,25,10.0,0.1,3,0.2,0.5097037793667007
27,25,10.0,0.1,3,0.3,0.49540347293156284
28,25,10.0,0.1,4,0.0,0.5168539325842697
29,25,10.0,0.1,4,0.1,0.5199182839632278
30,25,10.0,0.1,4,0.2,0.5209397344228804
31,25,10.0,0.1,4,0.3,0.5219611848825332
32,25,10.0,0.2,1,0.0,0.5178753830439223
33,25,10.0,0.2,1,0.1,0.5127681307456589
34,25,10.0,0.2,1,0.2,0.508682328907048
35,25,10.0,0.2,1,0.3,0.4974463738508682
36,25,10.0,0.2,2,0.0,0.5025536261491318
37,25,10.0,0.2,2,0.1,0.508682328907048
38,25,10.0,0.2,2,0.2,0.5076608784473953
39,25,10.0,0.2,2,0.3,0.5107252298263534
40,25,10.0,0.2,3,0.0,0.4902962206332993
41,25,10.0,0.2,3,0.1,0.5035750766087844
42,25,10.0,0.2,3,0.2,0.4933605720122574
43,25,10.0,0.2,3,0.3,0.48927477017364657
44,25,10.0,0.2,4,0.0,0.508682328907048
45,25,10.0,0.2,4,0.1,0.5168539325842697
46,25,10.0,0.2,4,0.2,0.49948927477017363
47,25,10.0,0.2,4,0.3,0.5168539325842697
48,25,10.0,0.3,1,0.0,0.5097037793667007
49,25,10.0,0.3,1,0.1,0.526046986721144
50,25,10.0,0.3,1,0.2,0.5219611848825332
51,25,10.0,0.3,1,0.3,0.5045965270684372
