,n_estimators,max_depth,learning_rate,min_child_weight,gamma,accuracy,precision
0,25,10.0,0.01,1,0,0.5122549019607843,0.7727272727272727
1,25,10.0,0.01,1,1,0.4877450980392157,0.7727272727272727
2,25,10.0,0.01,1,2,0.4803921568627451,0.7727272727272727
3,25,10.0,0.01,1,3,0.4791666666666667,0.7727272727272727
4,25,10.0,0.01,2,0,0.49142156862745096,0.7727272727272727
5,25,10.0,0.01,2,1,0.4742647058823529,0.7727272727272727
6,25,10.0,0.01,2,2,0.4693627450980392,0.7727272727272727
7,25,10.0,0.01,2,3,0.47058823529411764,0.7727272727272727
8,25,10.0,0.01,3,0,0.48161764705882354,0.7727272727272727
9,25,10.0,0.01,3,1,0.48161764705882354,0.7727272727272727
10,25,10.0,0.01,3,2,0.4730392156862745,0.7727272727272727
11,25,10.0,0.01,3,3,0.4693627450980392,0.7727272727272727
12,25,10.0,0.01,4,0,0.4987745098039216,0.7727272727272727
13,25,10.0,0.01,4,1,0.4963235294117647,0.7727272727272727
14,25,10.0,0.01,4,2,0.5049019607843137,0.7727272727272727
15,25,10.0,0.01,4,3,0.4987745098039216,0.7727272727272727
16,25,10.0,0.1,1,0,0.49142156862745096,0.7727272727272727
17,25,10.0,0.1,1,1,0.48284313725490197,0.7727272727272727
18,25,10.0,0.1,1,2,0.5073529411764706,0.7727272727272727
19,25,10.0,0.1,1,3,0.4791666666666667,0.7727272727272727
20,25,10.0,0.1,2,0,0.4730392156862745,0.7727272727272727
21,25,10.0,0.1,2,1,0.4693627450980392,0.7727272727272727
22,25,10.0,0.1,2,2,0.48161764705882354,0.7727272727272727
23,25,10.0,0.1,2,3,0.49387254901960786,0.7727272727272727
24,25,10.0,0.1,3,0,0.4791666666666667,0.7727272727272727
25,25,10.0,0.1,3,1,0.4803921568627451,0.7727272727272727
26,25,10.0,0.1,3,2,0.47549019607843135,0.7727272727272727
27,25,10.0,0.1,3,3,0.4840686274509804,0.7727272727272727
28,25,10.0,0.1,4,0,0.49387254901960786,0.7727272727272727
29,25,10.0,0.1,4,1,0.4840686274509804,0.7727272727272727
30,25,10.0,0.1,4,2,0.49019607843137253,0.7727272727272727
31,25,10.0,0.1,4,3,0.4852941176470588,0.7727272727272727
32,25,10.0,0.2,1,0,0.4803921568627451,0.7727272727272727
33,25,10.0,0.2,1,1,0.48284313725490197,0.7727272727272727
34,25,10.0,0.2,1,2,0.4889705882352941,0.7727272727272727
35,25,10.0,0.2,1,3,0.49387254901960786,0.7727272727272727
36,25,10.0,0.2,2,0,0.4963235294117647,0.7727272727272727
37,25,10.0,0.2,2,1,0.49019607843137253,0.7727272727272727
38,25,10.0,0.2,2,2,0.47671568627450983,0.7727272727272727
39,25,10.0,0.2,2,3,0.4950980392156863,0.7727272727272727
40,25,10.0,0.2,3,0,0.48284313725490197,0.7727272727272727
41,25,10.0,0.2,3,1,0.4852941176470588,0.7727272727272727
42,25,10.0,0.2,3,2,0.4644607843137255,0.7727272727272727
43,25,10.0,0.2,3,3,0.4950980392156863,0.7727272727272727
44,25,10.0,0.2,4,0,0.48651960784313725,0.7727272727272727
45,25,10.0,0.2,4,1,0.47671568627450983,0.7727272727272727
46,25,10.0,0.2,4,2,0.5024509803921569,0.7727272727272727
47,25,10.0,0.2,4,3,0.48284313725490197,0.7727272727272727
48,25,10.0,0.3,1,0,0.4742647058823529,0.7727272727272727
49,25,10.0,0.3,1,1,0.4742647058823529,0.7727272727272727
50,25,10.0,0.3,1,2,0.4840686274509804,0.7727272727272727
51,25,10.0,0.3,1,3,0.4803921568627451,0.7727272727272727
52,25,10.0,0.3,2,0,0.47794117647058826,0.7727272727272727
53,25,10.0,0.3,2,1,0.49142156862745096,0.7727272727272727
54,25,10.0,0.3,2,2,0.48284313725490197,0.7727272727272727
55,25,10.0,0.3,2,3,0.49019607843137253,0.7727272727272727
56,25,10.0,0.3,3,0,0.4852941176470588,0.7727272727272727
57,25,10.0,0.3,3,1,0.4877450980392157,0.7727272727272727
58,25,10.0,0.3,3,2,0.4803921568627451,0.7727272727272727
59,25,10.0,0.3,3,3,0.47671568627450983,0.7727272727272727
60,25,10.0,0.3,4,0,0.5,0.7727272727272727
61,25,10.0,0.3,4,1,0.4803921568627451,0.7727272727272727
62,25,10.0,0.3,4,2,0.4852941176470588,0.7727272727272727
63,25,10.0,0.3,4,3,0.48651960784313725,0.7727272727272727
64,25,15.0,0.01,1,0,0.5036764705882353,0.7727272727272727
65,25,15.0,0.01,1,1,0.5110294117647058,0.7727272727272727
66,25,15.0,0.01,1,2,0.5024509803921569,0.7727272727272727
67,25,15.0,0.01,1,3,0.4877450980392157,0.7727272727272727
68,25,15.0,0.01,2,0,0.5147058823529411,0.7727272727272727
69,25,15.0,0.01,2,1,0.5049019607843137,0.7727272727272727
70,25,15.0,0.01,2,2,0.47794117647058826,0.7727272727272727
71,25,15.0,0.01,2,3,0.4852941176470588,0.7727272727272727
72,25,15.0,0.01,3,0,0.4889705882352941,0.7727272727272727
73,25,15.0,0.01,3,1,0.4889705882352941,0.7727272727272727
74,25,15.0,0.01,3,2,0.4852941176470588,0.7727272727272727
75,25,15.0,0.01,3,3,0.47671568627450983,0.7727272727272727
76,25,15.0,0.01,4,0,0.4987745098039216,0.7727272727272727
77,25,15.0,0.01,4,1,0.49754901960784315,0.7727272727272727
78,25,15.0,0.01,4,2,0.5012254901960784,0.7727272727272727
79,25,15.0,0.01,4,3,0.5,0.7727272727272727
80,25,15.0,0.1,1,0,0.4963235294117647,0.7727272727272727
81,25,15.0,0.1,1,1,0.4889705882352941,0.7727272727272727
82,25,15.0,0.1,1,2,0.48651960784313725,0.7727272727272727
83,25,15.0,0.1,1,3,0.4877450980392157,0.7727272727272727
84,25,15.0,0.1,2,0,0.48284313725490197,0.7727272727272727
85,25,15.0,0.1,2,1,0.4963235294117647,0.7727272727272727
86,25,15.0,0.1,2,2,0.5012254901960784,0.7727272727272727
87,25,15.0,0.1,2,3,0.5122549019607843,0.7727272727272727
88,25,15.0,0.1,3,0,0.48161764705882354,0.7727272727272727
89,25,15.0,0.1,3,1,0.48161764705882354,0.7727272727272727
90,25,15.0,0.1,3,2,0.48651960784313725,0.7727272727272727
91,25,15.0,0.1,3,3,0.4889705882352941,0.7727272727272727
92,25,15.0,0.1,4,0,0.49387254901960786,0.7727272727272727
93,25,15.0,0.1,4,1,0.49264705882352944,0.7727272727272727
94,25,15.0,0.1,4,2,0.49142156862745096,0.7727272727272727
95,25,15.0,0.1,4,3,0.47181372549019607,0.7727272727272727
