,n_estimators,max_depth,learning_rate,min_child_weight,gamma,accuracy,precision
0,25,10.0,0.01,1,0.0,0.492619926199262,0.5075885328836425
1,25,10.0,0.01,1,0.1,0.4884686346863469,0.5037531276063386
2,25,10.0,0.01,1,0.2,0.48985239852398527,0.5049261083743842
3,25,10.0,0.01,1,0.3,0.4893911439114391,0.5045267489711934
4,25,10.0,0.01,2,0.0,0.492619926199262,0.5074013157894737
5,25,10.0,0.01,2,0.1,0.4893911439114391,0.5045267489711934
6,25,10.0,0.01,2,0.2,0.48985239852398527,0.5049342105263158
7,25,10.0,0.01,2,0.3,0.4921586715867159,0.5070539419087137
8,25,10.0,0.01,3,0.0,0.49584870848708484,0.5093214019388516
9,25,10.0,0.01,3,0.1,0.49584870848708484,0.5093353248693054
10,25,10.0,0.01,3,0.2,0.4949261992619926,0.5086401202103682
11,25,10.0,0.01,3,0.3,0.49400369003690037,0.5078066914498142
12,25,10.0,0.01,4,0.0,0.49907749077490776,0.5139372822299652
13,25,10.0,0.01,4,0.1,0.503690036900369,0.518324607329843
14,25,10.0,0.01,4,0.2,0.5087638376383764,0.5229437229437229
15,25,10.0,0.01,4,0.3,0.5087638376383764,0.5222502099076406
16,25,10.0,0.1,1,0.0,0.4935424354243542,0.5075987841945289
17,25,10.0,0.1,1,0.1,0.496309963099631,0.5095588235294117
18,25,10.0,0.1,1,0.2,0.49723247232472323,0.5103703703703704
19,25,10.0,0.1,1,0.3,0.4921586715867159,0.5063009636767977
20,25,10.0,0.1,2,0.0,0.4986162361623616,0.5115758028379388
21,25,10.0,0.1,2,0.1,0.5078413284132841,0.5193916349809886
22,25,10.0,0.1,2,0.2,0.5078413284132841,0.5185185185185185
23,25,10.0,0.1,2,0.3,0.5027675276752768,0.5144092219020173
24,25,10.0,0.1,3,0.0,0.49308118081180813,0.5072353389185073
25,25,10.0,0.1,3,0.1,0.49400369003690037,0.5078299776286354
26,25,10.0,0.1,3,0.2,0.49169741697416974,0.5060698027314112
27,25,10.0,0.1,3,0.3,0.496309963099631,0.5105008077544426
28,25,10.0,0.1,4,0.0,0.5096863468634686,0.5202354672553348
29,25,10.0,0.1,4,0.1,0.5046125461254612,0.5165912518853696
