,n_estimators,max_depth,learning_rate,min_child_weight,gamma,accuracy,precision
0,25,10.0,0.01,1,0,0.49157733537519144,0.672077922077922
1,25,10.0,0.01,1,1,0.48392036753445633,0.672077922077922
2,25,10.0,0.01,1,2,0.49310872894333846,0.672077922077922
3,25,10.0,0.01,1,3,0.48545176110260335,0.672077922077922
4,25,10.0,0.01,2,0,0.4609494640122512,0.672077922077922
5,25,10.0,0.01,2,1,0.46401225114854516,0.672077922077922
6,25,10.0,0.01,2,2,0.4869831546707504,0.672077922077922
7,25,10.0,0.01,2,3,0.47013782542113325,0.672077922077922
8,25,10.0,0.01,3,0,0.45941807044410415,0.672077922077922
9,25,10.0,0.01,3,1,0.450229709035222,0.672077922077922
10,25,10.0,0.01,3,2,0.45176110260336905,0.672077922077922
11,25,10.0,0.01,3,3,0.4563552833078101,0.672077922077922
12,25,10.0,0.01,4,0,0.46248085758039814,0.672077922077922
13,25,10.0,0.01,4,1,0.46248085758039814,0.672077922077922
14,25,10.0,0.01,4,2,0.46248085758039814,0.672077922077922
15,25,10.0,0.01,4,3,0.45788667687595713,0.672077922077922
16,25,10.0,0.1,1,0,0.4762633996937213,0.672077922077922
17,25,10.0,0.1,1,1,0.4686064318529862,0.672077922077922
18,25,10.0,0.1,1,2,0.4762633996937213,0.672077922077922
19,25,10.0,0.1,1,3,0.4869831546707504,0.672077922077922
20,25,10.0,0.1,2,0,0.48085758039816234,0.672077922077922
21,25,10.0,0.1,2,1,0.4946401225114854,0.672077922077922
22,25,10.0,0.1,2,2,0.4762633996937213,0.672077922077922
23,25,10.0,0.1,2,3,0.4777947932618683,0.672077922077922
24,25,10.0,0.1,3,0,0.46401225114854516,0.672077922077922
25,25,10.0,0.1,3,1,0.4777947932618683,0.672077922077922
26,25,10.0,0.1,3,2,0.47320061255742724,0.672077922077922
27,25,10.0,0.1,3,3,0.4869831546707504,0.672077922077922
28,25,10.0,0.1,4,0,0.4869831546707504,0.672077922077922
29,25,10.0,0.1,4,1,0.4777947932618683,0.672077922077922
30,25,10.0,0.1,4,2,0.4670750382848392,0.672077922077922
31,25,10.0,0.1,4,3,0.48238897396630936,0.672077922077922
32,25,10.0,0.2,1,0,0.4869831546707504,0.672077922077922
33,25,10.0,0.2,1,1,0.4793261868300153,0.672077922077922
34,25,10.0,0.2,1,2,0.47166921898928027,0.672077922077922
35,25,10.0,0.2,1,3,0.47320061255742724,0.672077922077922
36,25,10.0,0.2,2,0,0.4869831546707504,0.672077922077922
37,25,10.0,0.2,2,1,0.45329249617151607,0.672077922077922
38,25,10.0,0.2,2,2,0.4777947932618683,0.672077922077922
39,25,10.0,0.2,2,3,0.4869831546707504,0.672077922077922
40,25,10.0,0.2,3,0,0.4777947932618683,0.672077922077922
41,25,10.0,0.2,3,1,0.5038284839203675,0.672077922077922
42,25,10.0,0.2,3,2,0.48392036753445633,0.672077922077922
43,25,10.0,0.2,3,3,0.47320061255742724,0.672077922077922
44,25,10.0,0.2,4,0,0.48238897396630936,0.672077922077922
45,25,10.0,0.2,4,1,0.4885145482388974,0.672077922077922
46,25,10.0,0.2,4,2,0.4670750382848392,0.672077922077922
47,25,10.0,0.2,4,3,0.4655436447166922,0.672077922077922
48,25,10.0,0.3,1,0,0.4793261868300153,0.672077922077922
49,25,10.0,0.3,1,1,0.5084226646248086,0.672077922077922
50,25,10.0,0.3,1,2,0.49770290964777947,0.672077922077922
51,25,10.0,0.3,1,3,0.4869831546707504,0.672077922077922
52,25,10.0,0.3,2,0,0.4900459418070444,0.672077922077922
53,25,10.0,0.3,2,1,0.48392036753445633,0.672077922077922
54,25,10.0,0.3,2,2,0.4655436447166922,0.672077922077922
55,25,10.0,0.3,2,3,0.4563552833078101,0.672077922077922
56,25,10.0,0.3,3,0,0.4900459418070444,0.672077922077922
57,25,10.0,0.3,3,1,0.4992343032159265,0.672077922077922
58,25,10.0,0.3,3,2,0.5114854517611026,0.672077922077922
59,25,10.0,0.3,3,3,0.4762633996937213,0.672077922077922
60,25,10.0,0.3,4,0,0.48085758039816234,0.672077922077922
61,25,10.0,0.3,4,1,0.4946401225114854,0.672077922077922
62,25,10.0,0.3,4,2,0.47013782542113325,0.672077922077922
63,25,10.0,0.3,4,3,0.4900459418070444,0.672077922077922
